scope,stage,method,k,hit_rate,precision,recall,evidence_f1,mrr,map,ndcg,evaluated_questions,excluded_questions
full_validation,retrieval,bm25,1,0.1909385113268608,0.1909385113268608,0.1464136350867742,0.1567176210933663,0.1909385113268608,0.1909385113268608,0.1909385113268608,927,78
full_validation,retrieval,bm25,3,0.4519956850053937,0.1596548004314994,0.361117624790764,0.2080983202342425,0.3011506652283351,0.2470933716888409,0.2923265859319152,927,78
full_validation,retrieval,bm25,5,0.6213592233009708,0.1402373247033441,0.5094366210871065,0.2077493164871806,0.3382416396979504,0.2784283231451516,0.3530034429569235,927,78
full_validation,retrieval,bm25,10,0.8274002157497303,0.1043149946062567,0.7051093826983795,0.1733206616719861,0.3599506001609561,0.3010326908541194,0.4169803436606973,927,78
full_validation,retrieval,bm25,20,0.9428263214670982,0.0676375404530744,0.8501051961161712,0.1207757067252101,0.3681204988049699,0.3124241824349132,0.4578897948437888,927,78
full_validation,retrieval,dense,1,0.2923408845738943,0.2923408845738943,0.2154890790004058,0.2347891360580851,0.2923408845738943,0.2923408845738943,0.2923408845738943,927,78
full_validation,retrieval,dense,3,0.5469255663430421,0.2071197411003236,0.439857371977113,0.2633801653219129,0.3987774181948939,0.3293479563706101,0.3785503386489525,927,78
full_validation,retrieval,dense,5,0.6893203883495146,0.1648327939590075,0.5753953834050921,0.241307095756934,0.4294138798993168,0.3559987414599065,0.4311638676523843,927,78
full_validation,retrieval,dense,10,0.8457389428263214,0.1103559870550161,0.7292197846018024,0.1816785375009662,0.4502225989281005,0.3762677365684377,0.4833893466760917,927,78
full_validation,retrieval,dense,20,0.9395900755124056,0.0687162891046386,0.8484604645889295,0.1215538395490023,0.4555054200132952,0.3850730189356177,0.5168681117797959,927,78
full_validation,retrieval,hybrid,1,0.3063646170442287,0.3063646170442287,0.239373087835871,0.2557099328688496,0.3063646170442287,0.3063646170442287,0.3063646170442287,927,78
full_validation,retrieval,hybrid,3,0.5792880258899676,0.2107155699388709,0.4651146449690139,0.2727637219546604,0.4241280115066522,0.3509828598825362,0.4015184828057166,927,78
full_validation,retrieval,hybrid,5,0.7173678532901834,0.1691477885652643,0.5965328176493224,0.2486312710422743,0.4533980582524271,0.3753026489272444,0.4521732013469213,927,78
full_validation,retrieval,hybrid,10,0.8727076591154261,0.1140237324703344,0.7611598927132908,0.1887761071131679,0.4670275337751066,0.3950684970740064,0.505068541497524,927,78
full_validation,retrieval,hybrid,20,0.9697950377562028,0.0716289104638619,0.8866557057003096,0.1272414592035243,0.4734215008845044,0.4046348666711811,0.5409996555293287,927,78
full_validation,reranking,cross_encoder,1,0.3279395900755124,0.3279395900755124,0.2531091539991216,0.2711480246823459,0.3279395900755124,0.3279395900755124,0.3279395900755124,927,78
full_validation,reranking,cross_encoder,3,0.6256742179072277,0.2326501258540093,0.5070107986774653,0.2988844608585709,0.45702984537936,0.3813376483279396,0.4363892509205849,927,78
full_validation,reranking,cross_encoder,5,0.756202804746494,0.1823085221143473,0.6382440892958693,0.2661918687808656,0.4824883135562747,0.405857005873187,0.4859405638989739,927,78
full_validation,reranking,cross_encoder,10,0.8964401294498382,0.1213592233009708,0.7898462422136265,0.1991344655539967,0.4965963767743703,0.4211595717335237,0.5338056401161553,927,78
full_validation,reranking,cross_encoder,20,0.965480043149946,0.0730852211434735,0.884715362575219,0.1290591259734239,0.4995115117029161,0.426785263430996,0.5594901068012189,927,78
full_validation,reranking,evidence_fused,1,0.3387270765911542,0.3387270765911542,0.2663495094724868,0.2840630432607949,0.3387270765911542,0.3387270765911542,0.3387270765911542,927,78
full_validation,reranking,evidence_fused,3,0.6440129449838188,0.2387630348795397,0.5245544046163153,0.3079540560123084,0.4685364976627112,0.3950916936353829,0.4505498872289808,927,78
full_validation,reranking,evidence_fused,5,0.7745415318230853,0.1874865156418554,0.6580198636832941,0.2744217606677154,0.495289464221503,0.419518758240441,0.5010479916425552,927,78
full_validation,reranking,evidence_fused,10,0.9007551240560948,0.1212513484358144,0.791280293000428,0.1991380256828988,0.5071039023304396,0.4339776252404353,0.5437491129739402,927,78
full_validation,reranking,evidence_fused,20,0.976267529665588,0.0737864077669903,0.8972458678136179,0.1305248883265261,0.5121943720001723,0.442105449737138,0.5738293355482785,927,78
full_validation,reranking,hybrid,1,0.3063646170442287,0.3063646170442287,0.239373087835871,0.2557099328688496,0.3063646170442287,0.3063646170442287,0.3063646170442287,927,78
full_validation,reranking,hybrid,3,0.5792880258899676,0.2107155699388709,0.4651146449690139,0.2727637219546604,0.4241280115066522,0.3509828598825362,0.4015184828057166,927,78
full_validation,reranking,hybrid,5,0.7173678532901834,0.1691477885652643,0.5965328176493224,0.2486312710422743,0.4533980582524271,0.3753026489272444,0.4521732013469213,927,78
full_validation,reranking,hybrid,10,0.8727076591154261,0.1140237324703344,0.7611598927132908,0.1887761071131679,0.4670275337751066,0.3950684970740064,0.505068541497524,927,78
full_validation,reranking,hybrid,20,0.9697950377562028,0.0716289104638619,0.8866557057003096,0.1272414592035243,0.4734215008845044,0.4046348666711811,0.5409996555293287,927,78
